time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.007350,1.0323,-0.6800,0.2890,1.269
2.012464,1.1253,-0.6154,0.0929,1.286
2.018419,1.1522,-0.5552,-0.1079,1.284
2.022691,1.1477,-0.4536,-0.3372,1.279
2.026548,1.0958,-0.3944,-0.5474,1.287
2.031076,1.0647,-0.3274,-0.7382,1.336
2.036095,1.0648,-0.2696,-0.9266,1.437
2.040757,1.0699,-0.1683,-1.0215,1.489
2.045114,1.1111,-0.0742,-1.0566,1.535
2.050230,1.1137,0.0079,-1.0343,1.520
2.054972,1.0464,0.0299,-0.9736,1.430
2.059194,1.0408,-0.0034,-0.9273,1.394
2.063862,0.9511,0.0203,-0.9144,1.320
2.073251,0.8637,-0.0022,-0.9109,1.255
2.074327,0.8002,0.0149,-0.8760,1.187
2.078952,0.7391,0.0331,-0.8359,1.116
2.083121,0.6614,0.0568,-0.7596,1.009
2.088021,0.5693,0.0548,-0.6397,0.858
2.093568,0.5196,0.0938,-0.4667,0.705
2.097226,0.4786,0.1140,-0.2981,0.575
2.102196,0.3981,0.1105,-0.1075,0.427
2.106704,0.3686,0.0403,0.0717,0.378
2.111745,0.3030,0.0304,0.1987,0.364
2.116064,0.2512,-0.0030,0.3048,0.395
2.121047,0.2318,-0.0500,0.3563,0.428
2.126093,0.2612,-0.0792,0.3414,0.437
2.130840,0.2962,-0.0804,0.2671,0.407
2.135275,0.3368,-0.0821,0.1189,0.367
2.140105,0.3615,-0.1217,-0.0625,0.387
2.144505,0.4279,-0.0530,-0.2629,0.505
2.149263,0.4407,-0.0740,-0.4682,0.647
2.159755,0.4030,-0.1100,-0.6881,0.805
2.160641,0.3943,-0.0487,-0.8628,0.950
2.163731,0.3938,0.0166,-0.9755,1.052
2.169254,0.3445,0.0759,-0.9115,0.977
2.173067,0.3117,0.1430,-0.7521,0.827
2.178067,0.2573,0.1981,-0.5212,0.614
2.182570,0.2266,0.1618,-0.2471,0.372
2.188965,0.2098,0.1173,0.0007,0.240
2.193330,0.1664,0.0883,0.1461,0.238
2.197161,0.0799,0.0505,0.1964,0.218
2.206328,0.0059,0.0562,0.1255,0.138
2.207180,-0.0793,0.0576,0.0414,0.106
2.210889,-0.1466,0.0643,-0.0871,0.182
2.215457,-0.2319,0.1533,-0.1978,0.341
2.220660,-0.3041,0.1763,-0.2549,0.434
2.225422,-0.3638,0.2582,-0.2465,0.510
2.229894,-0.4240,0.3153,-0.1228,0.542
2.234706,-0.4811,0.3887,0.0802,0.624
2.239785,-0.5175,0.3709,0.3241,0.714
2.244329,-0.5464,0.2954,0.5106,0.804
2.248711,-0.4801,0.1098,0.6613,0.824
2.254167,-0.4512,0.0105,0.8142,0.931
2.259061,-0.5111,-0.0074,0.8880,1.025
2.263408,-0.5622,0.0347,0.8347,1.007
2.277310,-0.6737,0.0676,0.6329,0.927
2.278561,-0.7319,0.0892,0.2946,0.794
2.279196,-0.7406,0.1836,-0.0750,0.767
2.283901,-0.7253,0.2604,-0.4089,0.872
2.296713,-0.6320,0.3891,-0.6666,0.998
2.297404,-0.5103,0.4835,-0.8601,1.111
2.298081,-0.3590,0.4981,-0.9248,1.110
2.301791,-0.2662,0.5449,-0.8343,1.031
2.306067,-0.2314,0.5468,-0.6626,0.890
2.310914,-0.2213,0.5127,-0.4286,0.704
2.316070,-0.1502,0.4468,-0.2254,0.522
2.321177,-0.1519,0.3560,-0.0864,0.397
2.325622,-0.0665,0.3025,0.0198,0.310
2.329907,-0.0215,0.2958,0.1027,0.314
2.335929,0.0570,0.3626,0.0711,0.374
2.338900,0.0755,0.3768,-0.1277,0.405
2.343418,0.0794,0.3439,-0.3839,0.521
2.348756,0.0949,0.2670,-0.5924,0.657
2.354123,0.0882,0.2327,-0.7323,0.773
2.359201,0.0994,0.1816,-0.8756,0.900
2.363237,0.0807,0.1596,-1.0344,1.050
2.377293,0.1092,0.2075,-1.1084,1.133
2.378924,0.1178,0.2580,-1.0547,1.092
2.379664,0.1357,0.2820,-0.9113,0.964
2.397459,0.0984,0.2339,-0.8050,0.844
2.399276,0.0638,0.0342,-0.6230,0.627
2.400075,0.1033,-0.0784,-0.3317,0.356
2.400831,0.1495,-0.1930,-0.0456,0.248
2.401396,0.1449,-0.2673,0.1423,0.336
2.405424,0.0683,-0.3301,0.1629,0.374
2.410528,0.0518,-0.3531,0.0884,0.368
2.414987,0.0099,-0.4126,-0.0382,0.414
2.419605,0.0555,-0.3911,-0.1738,0.432
2.424282,-0.0169,-0.4031,-0.2923,0.498
2.429317,0.0093,-0.3480,-0.2432,0.425
2.441946,-0.3715,-0.2387,1.0445,1.134
2.442961,-0.4921,-0.3192,1.3025,1.428
2.443445,-0.3205,-0.5793,1.0795,1.266
2.448320,-0.1941,-0.7822,1.2515,1.489
2.452850,-0.2070,-0.9310,1.6148,1.875
2.457084,-0.1106,-0.9736,1.9304,2.165
2.461811,-0.0051,-1.0801,1.9762,2.252
2.470568,0.1849,-1.1569,1.6687,2.039
2.472462,0.3846,-1.2130,1.1758,1.733
2.476329,0.4565,-1.1353,0.6790,1.399
2.486714,0.4276,-0.9669,0.3650,1.118
2.487625,0.3839,-0.8010,0.1495,0.901
2.490814,0.3058,-0.6732,-0.0106,0.739
2.495434,0.1978,-0.6333,-0.1732,0.686
2.500220,0.0526,-0.6306,-0.3503,0.723
2.505317,-0.1088,-0.5978,-0.5089,0.793
2.510233,-0.3062,-0.5250,-0.6252,0.872
2.515920,-0.5092,-0.4861,-0.6160,0.935
2.519605,-0.5511,-0.3664,-0.5889,0.886
2.523709,-0.5733,-0.3404,-0.5897,0.890
2.528626,-0.5494,-0.3193,-0.5609,0.848
2.533354,-0.4000,-0.2386,-0.5815,0.745
